face_id,i,j,k,curl,mapped_node_mean_curl
323,47,3655,4021,0.0035551338835086996,0.0016659936967083142
324,48,199,4279,0.0005920327056916001,0.001616149926179116
325,48,199,4551,0.0021436630123678,0.001551553110208356
326,48,1863,2334,0.0011099862026895,0.0008395854974390888
327,48,1863,4551,0.0007332187846036001,0.0009355931706436111
328,48,2334,4442,0.0014629205828137998,0.0010354075227683175
329,48,4279,4442,0.0002617889681050001,0.0011960120119435997
330,49,491,1336,0.00012063451571870006,0.0015398984187882112
331,49,491,2873,0.0023702415189106,0.001414752860137262
332,49,1336,1963,0.004413241604988701,0.0015072638485998278
333,49,1863,1963,0.0006548088398952002,0.0010524198284721554
334,49,1863,3093,2.877664243600001e-05,0.0009058675515719945
335,49,2873,3093,0.0005094597036969001,0.0012355660130487177
336,50,69,1352,0.0029765433445019997,0.004455399093906761
337,50,69,3495,0.0087442801848846,0.00586072217694695
338,50,768,2117,0.0008465732011373002,0.0033248510062414555
339,50,768,3495,0.0067993879912724,0.004894797182037405
340,50,883,1352,0.0016102598438504012,0.002979393441076873
341,50,883,2117,0.00043065133820399974,0.0028147703483211114
342,51,323,1561,0.0005786977458127002,0.0035255733839346386
343,51,323,2113,0.00012317180727369932,0.0032280947887160885
344,51,1561,4359,0.0030558064794510005,0.0023692340204060445
345,51,2113,3489,0.0050069149450708995,0.002893531470124939
346,51,3489,4081,0.011555581709810999,0.003337415267622511
347,51,4081,4359,0.0014126923440975,0.002515639222685067
348,52,534,1112,0.0046389779911472,0.003958569456407866
349,52,534,2271,0.0031323618976494003,0.0041557945018736225
350,52,1112,4686,0.002632647931499397,0.007013662637355439
351,52,2271,3574,0.0012712812781578986,0.004835688371697683
352,52,3574,4327,0.0040216179566948,0.004847324127589061
353,52,4327,4686,0.008357721449089202,0.007222523438712572
354,53,913,1558,0.0006221243501664002,0.0024528201042917897
355,53,913,2886,0.0065170567041595,0.002270270100985417
356,53,966,2187,0.0019169934506055,0.0016857175321222724
357,53,966,2886,8.253941417910016e-05,0.00150694438721325
358,53,1304,1558,0.0012210920634713003,0.0021944636089182394
359,53,1304,2187,0.0017220113489002003,0.002190686750520889
360,54,212,661,0.0018356988575679994,0.0032572284768218663
361,54,212,3611,0.00010842845531290005,0.00303813373048795
362,54,661,4238,0.009863769810702801,0.0037337381081501107
363,54,2971,3827,0.0011866672143146005,0.0037570339539841273
364,54,2971,4238,0.002910269600149799,0.004024688397542705
365,54,3611,3827,0.0018202274597769997,0.0032469889182576168
366,55,712,1399,0.0031974075106230002,0.0015708021160693723
367,55,712,1880,0.0025575960711636,0.0013855053592781942
368,55,1399,4148,0.0005515126577643002,0.0011266471930755668
369,55,1880,1939,0.0009943666557763,0.001053579428402111
370,55,1903,1939,0.00039979727191529987,0.0008714184659464222
371,55,1903,4148,0.00015776303873380002,0.0007591894738286999
372,56,571,1271,0.00032814619511630004,0.0006232529478784305
373,56,967,1271,0.0008556245386842,0.0006239134856725138
374,56,967,2439,9.609265325779995e-05,0.0007605332180583
375,56,1842,2439,0.0003069682437029001,0.0008421598747559001
376,57,1452,4645,0.001037687123218299,0.0025006607731171662
377,57,1452,4815,0.0020848183377337997,0.0025509465203618835
378,57,2414,3501,0.0033109501344444,0.002777730356654956
379,57,2414,4645,0.0007767582213169004,0.002580921620179678
380,57,3501,4477,0.0033769488736951,0.0022620160526575337
381,57,4477,4815,0.00025156188171730006,0.002115493063426972
382,58,1180,1594,0.0006777552325537999,0.0014237318691905888
383,58,1180,2881,0.0003796257062091998,0.000998576132598139
384,58,1594,1926,0.001351185719464,0.001767040906184478
385,58,1926,4102,0.0010268954599785,0.002844462778059928
386,58,2881,4091,0.0009829935468930002,0.00220825150406735
387,58,4091,4102,0.0052566196071784,0.0037108291125352503
388,59,103,2263,0.00044969845385010003,0.001137257669681053
389,59,103,3609,0.0038089792584294997,0.0013292540089553213
390,59,129,2263,0.0006593232252807379,0.0009872661609184594
391,59,129,2429,0.002238081846965438,0.001175615570147959
392,59,986,1107,0.0027151222541452,0.001445657733565289
393,59,986,2429,0.002049742606273,0.0013813748071101605
394,59,986,3609,0.0018276819020840002,0.0013850217371549295
395,59,986,4752,0.0027231535354833997,0.001340417986164426
396,59,1107,4752,0.0005333950974127,0.0013280294532214548
397,59,2263,2429,0.0006589516452197,0.001116353938482562
398,59,2263,4752,0.0002703191522895,0.001075397117536827
399,59,2429,4752,0.0010768014343043,0.0012637465267663266
400,60,368,2323,0.00041799109280640464,0.0010056494721871125
401,60,368,4553,0.00044394027768179974,0.001000255271192823
402,60,2323,2891,0.0002894316902205005,0.0010744280723550788
403,60,2891,4668,0.0027646965299530004,0.0017298972566101006
404,60,4054,4553,0.0016306989554900001,0.0013640737439649237
405,60,4054,4668,0.0039534467676647,0.002024937129214235
406,61,602,1323,0.0057272983823446,0.003491299484740008
407,61,602,1421,0.00039863482738060015,0.0018259984314120544
408,61,1323,1521,0.0034531312656803006,0.0035256931396813805
409,61,1421,4262,0.0019238585556181377,0.0018586961757329128
410,61,1521,2293,0.0007956412293233,0.0019932205045331023
411,61,2293,4262,0.0026057509975351,0.0019915245939125885
412,62,507,1218,8.774773618602761e-05,0.002898570527434158
413,62,507,1849,0.0023874582479581005,0.00567428569559451
414,62,1218,2646,0.0001640770531155275,0.004620065177713757
415,62,1849,2074,0.015153270942708802,0.006828684753716722
