fov,n_cells_raw,n_cells_clean,n_cell_dups_dropped,n_coord_dups_dropped,n_edges,n_faces,hodge_type,coexact_fraction_global,exact_fraction_global,harm_fraction_global,interface_vs_tumor_core_ratio,perm_p,n_interface,n_tumor_core
106,2011,2011,0,0,6006,3995,upper,0.32270844724052,0.6771027962180692,0.0001887565421217013,2.278882987944542,0.000999000999000999,483,106
107,1966,1966,0,0,5876,3910,upper,0.3067795193332654,0.6932111070424107,9.373624229039734e-06,1.8144473304329611,0.059940059940059943,556,13
108,2035,2035,0,0,6082,4047,upper,0.4541006161286272,0.5458742643025238,2.511956649289878e-05,2.7538588332483007,0.007992007992007992,692,12
109,1731,1731,0,0,5171,3440,upper,0.41570900288635076,0.5839622849172448,0.00032871219555097986,2.7436623268459943,0.000999000999000999,494,31
110,1530,1530,0,0,4568,3038,upper,0.2792458476419612,0.7190719879102924,0.0016821644409533317,1.627372265141521,0.004995004995004995,259,113
111,1815,1815,0,0,5419,3604,upper,0.3089537722369319,0.6910154844624766,3.0743298496417444e-05,1.5704051664237566,0.029970029970029972,448,56
112,1728,1728,0,0,5157,3429,upper,0.2994727508388052,0.7004629458740004,6.4303286991207e-05,2.0153647635049388,0.002997002997002997,458,24
113,1532,1532,0,0,4575,3043,upper,0.5146992153651393,0.4851151794636856,0.00018560517196103063,1.3673220093242908,0.2137862137862138,545,10
114,1157,1157,0,0,3449,2292,upper,0.4978841227358926,0.5021124849849025,3.3922789642577255e-06,1.3305218044178129,0.27472527472527475,401,10
115,237,237,0,0,689,452,upper,0.643769452253649,0.356084756801823,0.00014579094454227634,,,40,2
116,318,318,0,0,925,607,upper,0.6580993048026965,0.337142145671887,0.004758549534591489,15.573313548653259,0.01898101898101898,96,6
117,1986,1986,0,0,5931,3945,upper,0.6451029706880879,0.35475864152474346,0.00013838778591938568,3.8564333088005514,0.002997002997002997,778,15
118,2599,2599,0,0,7773,5174,upper,0.36773409056595896,0.6322023823219135,6.352710873779179e-05,0.08644035646737397,1.0,945,24
119,2682,2682,0,0,8026,5344,upper,0.37544071510342414,0.6244819316455908,7.735325163911624e-05,3.643134865027783,0.000999000999000999,736,52
120,2156,2156,0,0,6451,4295,upper,0.3706319017157145,0.6290498862988798,0.00031821198539611577,2.300887997688534,0.000999000999000999,455,141
121,2141,2141,0,0,6400,4259,upper,0.4125691366096733,0.5870988478474057,0.0003320155418740212,2.403413436603679,0.013986013986013986,652,21
122,1601,1601,0,0,4782,3181,upper,0.40763786421642495,0.5917273728860221,0.0006347628977457822,2.023246407047743,0.04095904095904096,492,12
123,1815,1815,0,0,5419,3604,upper,0.42908317502018556,0.570661106568912,0.00025571841130650697,2.001703051656853,0.002997002997002997,433,104
124,1447,1447,0,0,4321,2874,upper,0.3723553384591928,0.6270382287789622,0.0006064327619072352,1.1008494343215298,0.42857142857142855,383,31
125,1539,1539,0,0,4597,3058,upper,0.36929603366380737,0.6302018953603139,0.0005020709864400926,1.2989953339962697,0.16483516483516483,421,27
126,990,990,0,0,2942,1952,upper,0.48609073850767875,0.5138802694398392,2.8992052457105513e-05,0.6896562051871032,0.7112887112887113,280,7
127,1045,1045,0,0,3113,2068,upper,0.3628944555672856,0.6370238782990849,8.166613528593443e-05,2.089723451625053,0.04395604395604396,319,12
128,541,541,0,0,1598,1057,upper,0.5687372997853674,0.4308418272577297,0.0004208729572623366,490.99812610231294,0.000999000999000999,76,21
129,601,601,0,0,1782,1181,upper,0.28055573868018663,0.7188120213989503,0.0006322399209197726,2.891673654730663,0.016983016983016984,172,18
130,1712,1712,0,0,5108,3396,upper,0.6643311090248307,0.3352463450055015,0.0004225459697409618,5.456405361419109,0.000999000999000999,700,13
131,2858,2858,0,0,8551,5693,upper,0.6114262351950331,0.388412766195152,0.00016099861141206055,3.6713050073507807,0.002997002997002997,1223,10
132,3031,3031,0,0,9066,6035,upper,0.3789273132621276,0.6206010751773119,0.0004716115528645429,1.7155713007870286,0.000999000999000999,798,119
133,2508,2508,0,0,7499,4991,upper,0.42847173367122443,0.5712970605692037,0.0002312057596911384,2.533373973302903,0.000999000999000999,802,41
134,2460,2460,0,0,7356,4896,upper,0.33683314817752164,0.6631667801909594,7.162698277081013e-08,1.7587445523293015,0.001998001998001998,596,83
135,2416,2416,0,0,7223,4807,upper,0.2916251155623689,0.7083121128660783,6.27715713189223e-05,1.5880549491897624,0.053946053946053944,584,41
136,1614,1614,0,0,4812,3198,upper,0.3248734681485285,0.6751263253229809,2.0652695066411934e-07,0.21413349859962696,1.0,507,48
137,1219,1219,0,0,3635,2416,upper,0.3664732581021785,0.6328722734057656,0.0006544684915823722,1.1305243299504768,0.3996003996003996,338,17
138,771,771,0,0,2286,1515,upper,0.22951408129778952,0.7703309283179368,0.00015499038506159646,0.6025319142040709,0.6343656343656343,246,9
139,937,937,0,0,2784,1847,upper,0.45839891762380497,0.541495901392186,0.00010518098422241996,280.65266591180756,0.000999000999000999,349,13
140,706,706,0,0,2097,1391,upper,0.3961846051408495,0.6037052999800427,0.00011009486351244543,,,300,1
