i,j,flux_coexact
97,612,1.070781224568673e-05
97,732,-1.1474419350314624e-05
98,111,-8.463230394621475e-06
98,163,5.746595014325079e-06
98,310,1.0952588545155698e-06
98,493,-1.430425346937726e-05
98,562,9.253152151072206e-06
98,662,6.67247784408588e-06
99,169,-7.78623110605755e-05
99,306,0.0001011199925513
99,440,5.814725776854e-05
99,715,4.427671212089304e-05
99,835,9.23219219916817e-05
100,517,-0.0002454164574685
100,660,-0.000362756104915
100,678,0.0003662768159976
100,712,0.0003826969920822
100,727,-0.0001408012456962
101,200,6.741587852628807e-05
101,469,0.0001439368937089
101,617,2.9784228606757552e-05
101,740,-0.000211148046643
101,775,9.967053064313095e-06
102,144,-3.3048239271462845e-05
102,207,-6.853732064835831e-06
102,253,-3.07390822380603e-07
102,382,-3.019036171277276e-05
102,523,-2.1337502222522436e-05
102,788,9.173722609397448e-05
103,451,-7.729072399006122e-06
103,530,1.2601339231448294e-06
103,691,-9.214282103707646e-06
103,738,4.390331755992554e-06
104,424,-2.187671849964895e-05
104,707,-4.8339038813575854e-05
104,708,3.4521272018540183e-05
105,296,1.0147278026488306e-05
105,428,1.1658282363557857e-06
105,500,-2.0933100554053795e-06
105,720,-2.864881452138148e-06
105,773,-3.7901429313879914e-06
105,845,-2.5647718239125733e-06
106,251,1.5506590371821373e-07
106,441,6.445622804597916e-06
106,608,1.9586726987490645e-06
106,664,-6.884477008214812e-06
106,716,-7.140072426635269e-06
106,846,5.465188027784887e-06
107,166,-2.170309075728357e-05
107,228,0.00018149664394
107,238,1.0922844902350895e-06
107,303,-8.966937622737418e-05
107,471,1.15470156961115e-05
107,602,-3.507378119289209e-05
107,705,1.4328096429687508e-05
107,724,-6.201779237856601e-05
108,146,1.5873996850965935e-05
108,237,-2.261599360081715e-06
108,350,1.1976932428327476e-05
108,730,3.935428926792208e-06
108,805,-3.1672293498655e-05
109,241,1.5871826582655808e-05
109,322,-3.862968151996439e-05
109,525,-3.079285755903194e-05
109,581,2.1559632505802347e-05
109,607,2.085156048945918e-05
109,692,1.1139519501078989e-05
110,180,4.51043400616872e-05
110,262,-4.319115674012929e-05
110,387,-9.27922859532096e-05
110,400,1.860418968148479e-05
110,422,7.903157386988452e-06
110,646,6.437175556317845e-05
111,163,4.105368374508281e-06
111,539,-4.391217223669407e-05
111,662,-2.3716161871643437e-07
111,703,-2.25906428081362e-05
112,236,-1.127697487362908e-06
112,345,6.136071726012774e-06
112,444,-1.1594874392326473e-06
112,514,1.0028671173308228e-05
112,560,-1.395095807077619e-05
112,810,7.340009805074337e-08
113,247,6.543502532979688e-06
113,299,-4.963108187267657e-06
113,477,1.5165934446758505e-06
113,572,-4.068606091057336e-06
113,580,2.4414393963719205e-06
113,804,-1.4698210957024663e-06
114,124,8.911715800556913e-06
114,131,-3.12549459106165e-06
114,157,9.252993239552508e-06
114,449,7.621619351763046e-06
114,553,-1.0288177096822118e-05
115,416,2.6883372188132425e-06
115,480,2.664015225583056e-06
115,553,5.939012660103921e-06
115,591,3.982257125154654e-06
115,763,-1.4167184273546971e-05
116,304,-8.467666424041262e-07
116,338,5.28814204647459e-05
116,554,-0.0001979500303001
116,595,4.951239175988693e-05
117,307,-8.104339688651447e-05
117,396,-6.63889848275241e-05
117,430,-3.710283365285821e-05
117,620,-6.633381225347557e-05
117,711,-8.496059546135297e-06
117,740,0.0002593650871665
118,174,-1.0083772277487204e-06
118,352,-8.585873682239687e-07
118,476,2.701325050780644e-06
118,558,1.4837187994630924e-06
118,650,-5.197607762741661e-06
118,670,2.879528508470614e-06
119,510,1.0876500558135518e-05
119,706,1.6291499313387065e-05
119,736,3.845435939516922e-06
119,796,-4.373558731035253e-05
120,153,1.4036079743217454e-06
120,365,4.784896108131601e-07
120,532,-4.487734172888993e-06
120,670,-2.077132946995827e-06
121,142,3.181510547128255e-05
121,518,-4.392782282466234e-05
121,781,-3.848870954518488e-06
121,783,-4.778665573495969e-06
122,196,2.6446075303553253e-06
122,224,-1.6501949314749325e-06
122,276,7.257113327466838e-08
122,309,4.594324495584256e-07
122,478,5.058671493654996e-06
123,167,-2.2899508535485313e-05
123,272,2.6615583300832272e-05
123,396,3.263364281387051e-05
123,621,-1.4229577145419986e-05
123,687,-1.8469113394936835e-05
123,711,-3.651027038860649e-06
124,157,6.35349345182485e-06
124,301,3.4604721354212375e-06
124,553,7.41043045831454e-06
124,625,-4.2977808964442585e-06
125,371,1.8190308832158903e-05
125,404,-8.432655238241994e-06
125,570,-2.7457123246508185e-05
125,585,2.2101448427649066e-05
126,156,-1.844277393886842e-05
126,492,-3.444160453674547e-06
126,774,-1.560802999550579e-05
127,162,6.322471238955479e-06
127,170,-4.245548188338418e-06
127,193,2.399308334588728e-05
127,452,-5.863992631955605e-05
127,624,1.620726355072084e-05
127,848,-8.647582658388233e-06
128,168,4.89685060425732e-06
128,192,-2.6192182569009453e-06
128,394,-1.4508173361567729e-05
128,399,4.038286130660226e-06
128,605,4.045008377068813e-06
128,799,4.147246506482313e-06
129,158,-4.342583524668506e-06
129,160,-8.458828642767812e-06
129,168,-2.101391452414021e-06
129,394,1.8246432849104955e-05
129,586,1.5383466729762394e-06
129,688,-4.8819759022308555e-06
130,223,-0.0006014187547235
130,266,6.0717958833952755e-05
130,372,-2.531365845853777e-05
130,490,0.0003254240658117
130,689,4.7649807967758186e-05
130,841,0.0001929405805686
131,157,-1.7995427174827852e-06
131,221,3.849296687673246e-06
131,385,-6.962218735558792e-06
131,449,-1.2905962026191103e-05
131,584,1.4692932200497785e-05
132,186,-1.717472251070805e-05
132,225,1.277147466737377e-05
132,398,1.2080201508172256e-05
132,541,-7.889109514743389e-06
132,698,-2.6633562674430135e-05
133,161,3.1583587373116385e-06
133,224,1.0722840969585971e-06
133,391,3.365201188677364e-06
133,408,5.384690293278418e-07
133,505,-3.311871717295186e-06
133,633,-4.822441334980255e-06
134,139,-1.647377557279528e-05
134,182,2.934854834174986e-06
134,435,-7.952195839460081e-06
134,522,5.096193470192856e-05
134,549,-1.920020202071665e-05
134,582,-1.0270616103131532e-05
135,209,-4.070738788193674e-07
135,213,-7.909010147038031e-07
135,341,-6.615098755247352e-08
135,594,-2.962972096274248e-07
135,680,-6.900003798848461e-07
136,159,2.6931598037392913e-05
136,336,-3.191964573864599e-05
136,520,6.993803521953095e-06
136,713,-4.7577940398545475e-06
136,777,2.7520382191545292e-06
137,359,7.242437109495215e-07
137,486,8.488888907377722e-07
137,507,-4.56698064935413e-06
137,744,2.421710534319603e-06
138,192,9.044464717148786e-06
138,333,-1.877803586891544e-06
138,366,-5.433051699182926e-06
138,394,2.4014429701757308e-06
138,586,-6.662840606083146e-06
138,632,2.527788204833099e-06
139,549,-2.3530859453758528e-06
139,582,5.3400058101233104e-06
139,612,-7.128055925449008e-06
139,629,-4.8416432004890755e-06
139,816,-7.490996311604653e-06
140,151,-7.507438387311696e-06
140,316,3.987002814095966e-06
140,331,-6.693838973409674e-06
140,389,1.4290308457078094e-05
140,448,4.269315882048816e-06
140,690,-8.345349792501505e-06
141,303,0.0001093497764238
141,401,1.1899824570655436e-05
141,601,-6.0384336142721754e-05
141,705,-8.537366441658712e-05
142,431,3.5663323035402424e-05
142,563,-3.85358286044945e-05
142,783,1.7186974787571853e-05
142,794,5.451942714458086e-05
143,572,1.2401760968766386e-06
143,588,7.099993412329605e-06
143,710,7.91665959386575e-06
143,737,-5.417211223638575e-06
143,827,-7.759768750919223e-06
144,427,-8.516323058432962e-06
144,516,9.014632338655768e-07
144,523,-1.5614093140287573e-06
144,745,1.662322244742675e-07
144,788,-2.403820235734097e-05
145,216,-4.838878982336959e-06
145,277,-2.760153447972931e-05
145,286,-4.971022471420118e-05
145,319,2.4407602010453137e-05
145,440,4.294881862733733e-05
145,613,1.4794217538476986e-05
146,197,-4.862441255930834e-06
146,350,4.490039492058928e-05
146,719,-4.860950286518594e-06
147,235,-5.510243024831941e-06
147,328,-2.128367009496352e-06
147,334,-2.964651843605332e-07
147,467,1.7514384641146904e-06
147,637,2.277541305414865e-06
147,675,3.906095449159271e-06
148,290,-6.298196734737435e-06
148,324,1.541417376599866e-06
148,384,1.1619097738021784e-05
148,402,-2.103781721429494e-06
148,476,-6.268861414510789e-06
149,280,1.912832162320999e-05
149,320,1.9097923230683916e-05
149,397,-5.493058813894195e-05
149,517,-7.897991504691009e-07
149,830,-2.7741401654589692e-05
149,841,-1.9018340694026925e-05
150,154,3.585293552765267e-05
150,360,1.451359011420464e-05
150,750,-7.038359676264259e-06
150,833,-2.2470551688680193e-05
150,834,-2.0857614276912855e-05
151,316,1.4524219374672193e-05
151,331,-6.121270854755052e-06
151,511,6.878514218904122e-06
151,565,-1.6818245188386115e-05
151,828,-5.970655937746844e-06
152,327,-1.2764442992171952e-05
152,332,-2.298066538195947e-05
152,437,5.033913380494984e-05
152,631,-6.408524254307104e-06
152,695,-2.526713592942606e-05
153,352,-3.235010691561818e-07
