i,j,flux_coexact
26,82,0.0001079015368043
26,162,-0.0001793271591812
26,317,-5.062691618466133e-05
26,619,-1.997979416713542e-05
26,655,-6.63117174413009e-05
26,895,0.0002083440501699
27,126,-2.9404193239935248e-05
27,139,-0.0003028189712344
27,404,0.000196230716966
27,618,0.0002484283946182
27,682,4.0981407730322344e-05
28,218,0.0001845969149928
28,337,-0.0001400070552597
28,772,0.000115888197027
28,909,0.0001317394255369
28,929,-0.0001798700064778
28,944,-0.0001123474758192
29,106,1.3480708905918276e-05
29,241,6.264185895735957e-06
29,467,9.440827054300252e-06
29,472,-2.7144686945706615e-06
29,718,2.52650488820527e-06
29,804,-2.8997758049589097e-05
30,104,-1.9901799768616233e-05
30,368,-8.88833924869043e-05
30,981,-2.72145118922071e-05
30,998,0.0002079774027675
30,1025,-4.563291068827624e-05
31,104,1.4807003585778165e-05
31,192,5.42651990106128e-05
31,295,4.456942945460378e-05
31,474,-0.0001342263170919
31,690,-1.5047081531590197e-05
32,38,-9.322563004888962e-06
32,125,-1.9546070791459384e-05
32,311,-2.4034480309298587e-05
32,351,4.080950469848065e-05
32,563,2.0290276929951407e-05
32,679,-8.196667522785122e-06
33,468,3.063603117529558e-05
33,493,-2.750180264140671e-05
33,547,2.1316586697589573e-05
33,683,-5.788366470508054e-05
33,1011,2.151425420329908e-05
34,362,5.237951640918617e-05
34,518,9.055161788706104e-06
34,648,-1.746916439294494e-05
34,706,-1.4228735322846991e-05
34,780,-1.341918169617956e-05
34,1018,-1.6317596785920784e-05
35,240,5.8653945235851825e-05
35,684,9.312711707808324e-05
35,821,0.0001743938998842
35,998,-0.0001879895469256
35,1014,9.05679279030841e-05
36,94,8.212904356010084e-06
36,288,-2.594298145620691e-05
36,331,-3.0492906243267053e-05
36,558,3.1762180211208734e-05
36,609,1.6019001647044951e-06
36,720,1.4858902967550651e-05
37,125,2.37797375115192e-05
37,155,-2.5869103036839293e-05
37,275,3.5720194520878467e-05
37,407,-1.877856936983072e-05
37,563,-1.2166628043936822e-06
37,763,-1.3635596821333972e-05
38,205,1.1549551852012654e-05
38,311,2.633314205943653e-07
