i,j,flux_wedge,abs_flux,region_i,region_j,flux_exact,flux_coexact
18,825,0.2062458173060543,0.2062458173060543,other,interface,-0.07467923779445279,0.2809250551005071
18,148,-0.2907691948126408,0.2907691948126408,other,other,-0.05210925621807083,-0.23865993859456996
18,4190,-0.0029546713571222,0.0029546713571222,other,other,-0.290631688894989,0.28767701753786684
18,494,-0.2714783997570906,0.2714783997570906,other,other,0.21109183642602294,-0.48257023618311357
18,150,0.215927522607576,0.215927522607576,other,other,0.23931934699766347,-0.023391824390087468
18,2657,-0.0773151200822237,0.0773151200822237,other,interface,-0.2533353302112695,0.17602021012904584
19,274,-0.2120012911952917,0.2120012911952917,interface,immune_core,-0.15913632769076935,-0.052864963504522355
19,4212,0.4593253475045752,0.4593253475045752,interface,immune_core,0.28013149208123267,0.17919385542334254
19,4092,-0.3149611328077028,0.3149611328077028,interface,interface,-0.5288676713559184,0.21390653854821556
19,3375,-0.4261354947715763,0.4261354947715763,interface,immune_core,-0.1950401695316062,-0.23109532523997012
19,2231,0.1312501490498073,0.1312501490498073,interface,interface,-0.0665913057044425,0.1978414547542498
19,1619,-0.1755333546351168,0.1755333546351168,interface,interface,0.13144695279272467,-0.30698030742784144
20,1244,0.2998343755607657,0.2998343755607657,other,other,0.34606597766980735,-0.04623160210904165
20,3314,0.0026504193190151,0.0026504193190151,other,other,-0.045412769312291976,0.048063188631307076
20,4162,0.1249358073365942,0.1249358073365942,other,other,0.1129625443554225,0.011973262981171712
20,1315,0.0019643000745737,0.0019643000745737,other,other,0.01216312176542704,-0.01019882169085334
20,4142,0.2838497276787763,0.2838497276787763,other,other,0.2786551460165312,0.0051945816622451235
20,2275,0.2894240761064577,0.2894240761064577,other,other,0.29822457256628465,-0.008800496459826945
21,1749,0.0585511351324495,0.0585511351324495,other,other,0.06148433306773368,-0.002933197935284182
21,1313,-0.0708049596000859,0.0708049596000859,other,other,-0.06941797180959577,-0.001386987790490124
21,4170,-0.0708049596000859,0.0708049596000859,other,other,-0.07067457521805567,-0.00013038438203022418
21,3044,-0.0708049596000859,0.0708049596000859,other,other,-0.07604733330759994,0.005242373707514042
