face_id,i,j,k
1292,1416,1951,1204
1293,266,2153,1410
1294,1159,1417,2001
1295,1417,1159,1611
1296,1872,1159,2001
1297,1159,1872,1565
1298,1872,283,1562
1299,1565,1872,1562
1300,930,1565,1432
1301,930,266,1410
1302,266,930,1432
1303,1775,155,1540
1304,155,1775,627
1305,2159,1540,1067
1306,365,2159,1067
1307,2159,1775,1540
1308,1775,2159,1487
1309,2180,2159,365
1310,1487,2159,2180
1311,1673,1487,1910
1312,97,1415,430
1313,1415,1669,430
1314,1415,461,1335
1315,461,1415,97
1316,1415,1335,948
1317,1669,1415,948
1318,43,1572,1205
1319,986,43,1205
1320,43,1074,1572
1321,43,1452,1074
1322,934,1296,426
1323,167,934,426
1324,1753,167,426
1325,1315,97,430
1326,97,1315,1910
1327,1076,1009,506
1328,1009,418,506
1329,418,1009,1730
1330,78,1183,214
1331,648,1805,622
1332,1805,590,622
1333,516,1805,239
1334,590,1805,516
1335,1805,757,239
1336,757,1805,648
1337,1182,1469,1160
1338,1182,46,1469
1339,46,1182,2032
1340,1868,1428,1520
1341,131,1868,1520
1342,1841,934,592
1343,934,1841,1296
1344,177,1588,762
1345,1588,1947,762
1346,1628,1588,858
1347,1947,1588,1628
1348,73,2119,1160
1349,1379,2119,900
1350,1040,73,1469
1351,1680,1379,76
1352,2119,1680,1160
1353,1680,2119,1379
1354,1481,404,419
1355,955,1481,419
1356,1123,6,1257
1357,1939,513,2129
1358,513,1481,314
1359,513,1939,404
1360,1481,513,404
1361,1121,1819,1488
1362,1202,1654,467
1363,918,791,1817
1364,791,918,1014
1365,127,2047,1128
1366,2047,949,1128
1367,2047,127,744
1368,905,1537,1465
1369,1537,1667,1465
1370,1537,905,1340
1371,1537,1340,1767
1372,169,1537,1767
1373,1667,1537,169
1374,1386,1193,1292
1375,1386,2124,2115
1376,1193,1386,2115
1377,2111,2142,80
1378,444,2111,80
1379,2111,1156,813
1380,1156,2111,444
1381,1193,381,813
1382,381,2111,813
1383,2111,381,2142
1384,381,1193,193
1385,1922,169,677
1386,322,1922,677
1387,1922,322,80
1388,2142,1922,80
1389,1667,540,1350
1390,559,907,1719
1391,759,907,559
1392,907,2026,1719
1393,2026,907,1936
1394,907,1378,1936
1395,1378,907,759
1396,1605,1619,1350
1397,1619,1605,1251
1398,1251,1605,1351
1399,540,1605,1350
1400,1605,540,1351
1401,883,863,178
1402,863,883,1310
1403,1749,883,1258
1404,883,1749,1310
