face_id,i,j,k,x_centroid,y_centroid,curl_total_abs,curl_coexact_abs
178,252,986,743,16360.333333333334,13761.333333333334,0.0001226979963425376,0.0001226979863653638
179,1267,2154,1828,16697.0,13184.666666666666,4.388956271498076e-06,4.3889078963966455e-06
180,223,2154,1267,16696.666666666668,13338.666666666666,4.495558508500579e-05,4.495564541664568e-05
181,2154,181,1828,16563.0,13184.333333333334,4.662385271106234e-05,4.662375754272681e-05
182,181,2154,113,16495.666666666668,13299.666666666666,3.8723915539562364e-05,3.872399112312152e-05
183,2154,223,113,16562.333333333332,13415.333333333334,0.00019155513375701498,0.00019155501453119866
184,1600,1525,977,16699.666666666668,12259.666666666666,4.962455031738411e-05,4.962442383363733e-05
185,1525,1177,977,16767.0,12144.333333333334,2.184291972912142e-05,2.1842764286917403e-05
186,1177,1525,945,16700.333333333332,12028.666666666666,0.0001703785045710722,0.00017037861592743373
187,945,1525,363,16566.333333333332,12028.333333333334,0.00024702872399954407,0.00024702849769309826
188,1627,1015,1282,16765.666666666668,12607.333333333334,0.00012943995346147198,0.0001294398513951922
189,1627,1282,2109,16899.333333333332,12684.666666666666,1.722888356686567e-05,1.722893989748803e-05
190,1742,1627,2109,16899.0,12838.666666666666,0.00021871525888930018,0.00021871516445832402
191,1525,1056,363,16499.0,12143.666666666666,0.00024304571382969745,0.00024304552953436091
192,1056,1525,1600,16565.666666666668,12259.333333333334,0.0001937622421298975,0.00019376237122061706
193,100,1979,1706,16363.0,12837.333333333334,0.0005378385786982841,0.0005378381950489137
194,1659,1979,100,16295.666666666666,12952.666666666666,8.062460587941983e-05,8.062423421878299e-05
195,1370,618,363,16365.333333333334,11912.333333333334,2.648041627622176e-05,2.6480507527970833e-05
196,744,568,689,8855.666666666666,12816.666666666666,0.0001775681866476879,0.00017756808148987314
197,557,744,689,8721.666666666666,12739.333333333334,4.985019477840159e-05,4.985015829077452e-05
198,863,1434,1457,10256.666666666666,15247.666666666666,0.00010059484364782199,0.00010059502608483737
199,1434,371,1457,10122.666666666666,15247.333333333334,0.00020992436289490662,0.00020992416680742012
200,371,21,1688,9921.333333333334,15362.333333333334,0.00039839362807001096,0.00039839340290957856
201,21,1434,1258,10122.0,15478.333333333334,0.00012648197542533763,0.00012648179100993316
202,1434,21,371,10055.333333333334,15362.666666666666,8.85361030866891e-05,8.85362754623018e-05
203,1878,1325,216,10457.0,15594.666666666666,8.87316036825e-05,8.873175101083741e-05
204,1258,1878,216,10323.0,15594.333333333334,0.00030545801652789997,0.00030545778522109705
205,1434,1878,1258,10256.0,15478.666666666666,1.5512463612878634e-05,1.5512660853411406e-05
206,1878,1434,863,10323.333333333334,15363.333333333334,3.470059190156181e-05,3.470040038943678e-05
207,2035,407,1213,10724.333333333334,15826.333333333334,0.00015613774750778092,0.00015613778880880426
208,407,1325,1213,10657.666666666666,15710.666666666666,1.8751475713799987e-05,1.8751621770529876e-05
209,1325,407,216,10523.666666666666,15710.333333333334,0.00011518291453550274,0.00011518276371499066
210,407,1258,216,10389.666666666666,15710.0,0.0003075941904458722,0.0003075942343395419
211,407,21,1258,10255.666666666666,15632.666666666666,0.0001456781552903195,0.0001456782124383578
212,21,407,1688,10121.666666666666,15555.333333333334,1.586796975965142e-05,1.5868058573056376e-05
213,654,2030,1213,10926.0,15711.333333333334,5.359751459413825e-05,5.359751656384992e-05
214,1902,654,1213,10859.0,15595.666666666666,0.0001552896862104,0.00015528952383009998
215,2030,654,2185,11060.0,15711.666666666666,1.053116215587741e-05,1.0531131044872647e-05
216,408,2140,1962,12131.0,16177.333333333334,2.6695384556133618e-05,2.6695342708845475e-05
217,764,2140,408,12064.333333333334,16061.666666666666,0.0002385305367667,0.00023853040887767126
218,266,1436,1717,11327.0,16097.666666666666,3.3453602764264994e-05,3.345358617664324e-05
219,1067,266,1717,11193.0,16020.0,2.0748003954382725e-05,2.074797677404529e-05
220,731,1264,1436,11662.333333333334,16060.333333333334,0.00012133101326457245,0.0001213310138704106
221,266,731,1436,11528.333333333334,16059.666666666666,4.3559283524613334e-05,4.355927265355494e-05
222,2076,2090,1827,9321.333333333334,14089.333333333334,0.00045376231767321875,0.0004537621706394824
223,1256,799,982,9458.666666666666,12933.666666666666,0.0002731298539835,0.00027312966637818196
224,689,1535,308,8855.0,13047.666666666666,0.00021635920218533798,0.00021635921529342386
225,568,1535,689,8922.333333333334,12932.333333333334,0.0001958807970898,0.00019588067818067834
226,799,885,982,9324.666666666666,12933.333333333334,0.00029040549687433354,0.00029040537933281547
227,885,799,824,9257.333333333334,13048.666666666666,4.340010133814579e-05,4.3400071155805055e-05
228,885,1535,568,9056.666666666666,12932.666666666666,0.00013103283399851782,0.00013103287657906433
229,1535,885,824,9123.333333333334,13048.333333333334,1.8537763243091066e-05,1.853776774397128e-05
230,215,1297,458,9533.666666666666,10045.333333333334,5.629118900383428e-05,5.629109836099053e-05
231,1297,811,458,9667.666666666666,10045.666666666666,0.00010303335363964541,0.00010303335173235989
232,1425,1602,259,10066.666666666666,11201.666666666666,8.633471671817559e-05,8.633459811050495e-05
233,849,1425,259,10133.333333333334,11317.666666666666,0.0001273485852494682,0.00012734862274382455
234,1509,1722,1102,6850.0,10962.333333333334,7.478945297825334e-05,7.478942970225299e-05
235,1722,1509,1494,6783.666666666667,10692.333333333334,3.0540768430975944e-06,3.0541391480807886e-06
236,1722,739,1102,7050.333333333333,11232.666666666666,0.00011936535680724905,0.00011936530958278194
237,739,1608,1102,7183.666666666667,11464.0,1.651888597874987e-05,1.651891219384991e-05
238,637,1423,211,9130.666666666666,10275.333333333334,0.00011896665554275354,0.0001189667554660954
239,1756,1754,968,9733.0,10623.333333333334,0.00013828156797340312,0.0001382816981397829
240,1672,1496,14,11479.0,9472.666666666666,9.965470316383708e-06,9.965615685309352e-06
241,1496,1672,1373,11345.0,9472.333333333334,8.747804405981464e-05,8.74778771487148e-05
242,1122,483,162,11075.666666666666,9933.666666666666,0.00017431903946228225,0.00017431890111158647
243,861,374,1302,10741.333333333334,9586.333333333334,0.0005620831900404093,0.0005620828261955797
244,776,374,227,10876.0,9355.333333333334,9.342072441860001e-05,9.34207037207384e-05
245,2098,1349,1302,10740.666666666666,9817.333333333334,0.00015316979070707312,0.00015316976007531227
246,1278,2098,162,10874.0,10048.666666666666,0.0002321561670037694,0.00023215609755529562
247,2098,1122,162,10941.333333333334,9933.333333333334,0.0002660173063286211,0.000266017343703081
248,1122,2098,1302,10874.666666666666,9817.666666666666,0.0001676657426106,0.00016766557226830002
249,48,240,1009,7458.0,9230.666666666666,4.040912990189677e-06,4.0409454986449624e-06
250,925,1998,1125,7055.666666666667,9229.666666666666,0.00021806726685813198,0.00021806709510924178
251,468,527,1931,6853.666666666667,9575.666666666666,0.0001462521810155872,0.0001462520877101131
252,468,925,527,6921.0,9460.333333333334,6.888133621112797e-06,6.888070310386886e-06
253,67,468,1931,6719.666666666667,9575.333333333334,0.0006036044833271766,0.0006036042259476074
254,682,1644,1106,6451.0,9805.666666666666,0.0006344956450940259,0.0006344953071929
255,682,67,1644,6518.333333333333,9690.333333333334,3.737103710239995e-05,3.7370896811626754e-05
256,682,1106,1864,6383.666666666667,9921.0,0.00036262965554856405,0.0003626296992981009
257,1759,1176,1954,8534.666666666666,7615.333333333333,2.8534358120019663e-06,2.8535263844772064e-06
258,1176,695,1954,8468.0,7499.666666666667,0.00011288170331718046,0.00011288156112203044
259,1696,1386,1366,8869.666666666666,7731.666666666667,7.2241617194017485e-06,7.224200502047247e-06
260,1696,1813,1469,8735.0,7962.333333333333,1.4549113382395987e-05,1.4549088285846162e-05
261,1759,1696,1469,8668.0,7846.666666666667,1.1537313288374167e-05,1.1537337935765181e-05
262,1696,1759,1386,8735.333333333334,7731.333333333333,2.0003939707117826e-05,2.000397541590229e-05
263,1377,770,765,9069.0,8310.333333333334,2.6201021323927767e-05,2.6200898416578884e-05
264,1215,1629,532,10139.666666666666,9006.333333333334,0.00012203430718830832,0.0001220344491085353
265,1977,766,1435,9742.0,7387.333333333333,0.0001158203221265845,0.00011582026671289138
266,766,1977,398,9675.0,7271.666666666667,2.3364000340834066e-05,2.336403368403545e-05
267,1709,1464,913,9071.666666666666,7385.666666666667,0.00015346994029787837,0.00015346991798391243
