face_id,i,j,k,face_energy_total,face_energy_exact,face_energy_coexact,face_energy_harmonic
2744,820,1307,1504,3.818875669895288e-06,3.9308814148657994e-06,3.0222895430934214e-08,5.975695337716857e-17
2745,582,820,1504,3.3169752457088713e-06,3.169910512436136e-06,4.831592341974495e-08,6.903680485682826e-17
2746,1154,1829,541,9.583383613425752e-07,1.0660823436193925e-06,4.60106609452453e-09,4.370445708212074e-17
2747,1829,1154,84,1.4175970615671184e-06,1.7548834867935337e-06,1.8061211045078666e-08,3.2263385055676305e-17
2748,1797,2148,1801,6.432923863961678e-06,5.867775738133412e-06,1.6360213891078344e-08,4.65411608053553e-17
2749,1940,1797,1801,7.22262102628273e-06,5.05277040467482e-06,2.7691825809055756e-07,5.4408590844401564e-17
2750,2148,1797,541,3.6125817534028884e-06,4.000686364702605e-06,3.00559659397858e-08,5.4718691495215754e-17
2751,1797,1154,541,1.3919729520786482e-06,1.791873270442054e-06,9.745422162114686e-08,3.7497938230453213e-17
2752,974,2194,1828,4.29371190109372e-06,6.944658463515825e-06,5.033554014478861e-07,5.622693914132622e-17
2753,1764,1865,288,1.066072878850315e-05,9.43555875091544e-06,2.0411867541743876e-07,6.853343628661662e-17
2754,1764,974,1766,1.1910249111619855e-06,1.5770016197677093e-06,9.489935855393809e-08,6.576448935590963e-17
2755,2194,1764,288,6.3368813367819515e-06,7.876845359853511e-06,6.400641632765864e-07,6.626775263875939e-17
2756,1764,2194,974,2.3000892511048198e-06,3.5090757517016e-06,4.409801254955686e-07,6.53605276327026e-17
2757,1081,399,646,2.5420806817036776e-06,6.432256652654107e-06,4.543913421281521e-06,5.3381880193077027e-17
2758,1241,1816,1853,8.972604074563066e-06,1.3878452305396909e-05,6.635978787405805e-07,6.693625030075323e-17
2759,714,1591,142,2.1504077634458855e-07,1.7713048295020073e-06,1.1336797422640242e-06,7.644810402356355e-17
2760,1151,714,142,9.58550076188517e-07,1.728051643819204e-06,3.718340502381762e-07,1.0376674407481167e-16
2761,99,355,139,1.3697282914820837e-06,1.5212934030366594e-06,2.9145512753848274e-08,3.19696581846323e-17
2762,1054,1033,158,2.605309693960073e-07,1.8866877852124822e-07,5.8992785269312635e-08,1.1058108058376313e-17
2763,889,225,977,6.599056579859555e-07,6.152348873687835e-07,2.7677384481175645e-09,2.4629725120004118e-17
2764,889,1411,225,6.020718062670371e-07,5.396963731483979e-07,2.30185966437949e-09,2.2265032059783802e-17
2765,209,1211,2052,2.157142816044658e-06,1.9301873526488645e-06,4.122810848757053e-08,2.3531209631568392e-17
2766,1068,1211,209,4.648957513099834e-06,4.154048560301488e-06,4.8712062239532645e-08,2.501525307329153e-17
2767,1211,1474,2052,6.666553494644202e-06,6.302995478818554e-06,8.182062603778146e-09,2.1342731761622603e-17
2768,1474,1211,408,7.333963188935535e-06,6.624825156797016e-06,2.2735021425385768e-08,2.484330632317809e-17
2769,1211,1416,408,3.092382331066061e-06,3.1381244167934582e-06,7.854463479149604e-08,2.7446646739328556e-17
2770,1211,1068,1416,3.4712121035334053e-06,3.524773323990944e-06,6.062783448456995e-08,3.203899220757469e-17
2771,2011,43,986,5.922338486025267e-07,8.580191604983545e-07,5.380675558990292e-08,5.230103393785502e-18
2772,1117,2011,986,1.5806342750599413e-07,1.3225941405343416e-07,7.787349134863493e-09,5.301235369404239e-18
2773,1452,2011,1730,1.2169766148360377e-07,1.4485648841064558e-07,1.005409832971517e-08,5.323374353539809e-18
