face_id,i,j,k,face_energy_total,face_energy_exact,face_energy_coexact,face_energy_harmonic
138,487,1037,2037,9.285628058089041e-10,3.138864876618327e-10,1.0792497556250624e-09,3.99207698233057e-19
139,221,1415,2018,7.815814759564264e-08,5.578042582556394e-09,7.125240132660399e-08,1.0343946717510128e-19
140,1645,1432,1395,1.4677515593683373e-09,7.266044365011724e-10,1.2259514994600406e-09,8.406843506569657e-18
141,818,675,1576,4.595199030524805e-09,1.8873355869548266e-10,4.4853135989954925e-09,5.154200296812137e-19
142,1680,868,675,4.57441437795612e-09,1.4804616871184493e-09,3.2889708276303615e-09,3.7979537316001163e-19
143,818,1680,675,3.543943258206976e-09,2.077686762471271e-09,2.7932072775391662e-09,4.277702131288411e-19
144,1680,818,2065,1.9310264832768927e-09,2.0533391661431696e-09,5.790476995240775e-10,4.991985231122425e-19
145,868,1680,1338,3.692856935623348e-09,1.347307428498913e-09,7.770657144208919e-10,1.531093499476663e-18
146,1680,2065,1338,2.1369500975106113e-09,1.2838870971507618e-09,1.00665459111617e-09,1.8359520801460328e-18
147,1430,945,618,2.153137785841909e-10,1.0743544936840237e-10,2.2588859152170057e-10,6.170733560321725e-19
148,945,1430,1576,6.890456267551049e-10,1.474331406062348e-09,1.2014741157295326e-09,5.540319472271759e-19
149,1967,2059,1816,5.953369824644102e-10,5.694996498084104e-10,9.118316850306239e-10,1.1175925929157704e-18
150,1745,232,1355,2.4654088064492254e-09,1.6259842229075485e-09,1.9225980351007626e-10,2.1891238656814523e-19
151,1745,1355,147,5.107981475365061e-09,4.50412794513882e-09,1.6793985286352435e-10,2.230778292595307e-19
152,253,1760,1939,1.4132971253291624e-09,6.736033750814216e-10,1.9594963059479983e-09,7.723536106988727e-20
153,1719,758,1269,7.04770335176212e-10,1.9897667148250126e-09,1.450296002176787e-09,1.6244434721917132e-19
154,1760,1719,1939,7.70489271452376e-09,1.678223556886144e-09,6.290140072712653e-09,4.1419784754389596e-20
155,1719,1760,758,2.2070545147507495e-09,1.7148928347308881e-09,4.273018453428351e-09,6.503086626430614e-20
156,1049,253,1891,1.2929105102118366e-08,8.308699344815833e-10,1.2934547998844162e-08,1.0620489063670652e-19
157,1049,1760,253,1.1798791707334827e-08,7.314544265112685e-10,9.989179159651824e-09,7.933333251160599e-20
158,1760,1049,758,4.7467777223376176e-09,9.529136013231172e-11,5.4255505859315114e-09,1.286488282469559e-19
159,1330,1635,1443,1.7509982179637173e-08,2.3261930750580287e-08,2.0629498250722585e-08,6.742597673592592e-20
160,546,1330,1443,5.800390056910651e-08,3.1847272263857177e-08,5.4811340659711695e-09,1.1139275825202678e-19
161,16,1330,546,2.9106936706128114e-09,7.106617466183787e-10,1.5936596111905184e-09,4.405171708274066e-20
162,79,518,1635,1.1200605460498422e-08,1.0542069823352513e-08,1.5616768613407538e-08,2.0911724345520083e-19
163,1330,79,1635,6.0115821125459884e-09,9.747500967005629e-09,1.3915361517906088e-08,1.3850173856701465e-19
164,79,1330,16,8.688450927563403e-09,5.352531188614066e-09,8.268535572963369e-10,4.379326818967872e-20
165,79,16,1237,1.21912458116857e-08,4.024320888179911e-09,2.648641520214586e-09,2.2139852049857883e-19
166,320,252,720,1.5569057804174215e-08,5.910702394037576e-09,2.256610916236979e-08,2.2579628016206125e-20
167,252,743,720,1.972164891928703e-08,1.0123084776214352e-10,2.138442277892827e-08,3.8900180732085035e-20
168,1556,397,1443,6.372784377638349e-08,1.253698156603582e-08,5.3632511000466173e-08,7.735155203489719e-20
169,397,546,1443,9.226508629138748e-08,2.8254185126673998e-08,2.0104332045968497e-08,1.5434178483748398e-19
170,397,320,546,1.7358608969572288e-08,4.4130471117438575e-09,5.7609125546277195e-09,7.613301747881322e-20
171,181,100,1828,3.4292636542272536e-08,7.673361728882965e-09,1.3373189963551454e-08,4.556348730048299e-20
