sample_id,flux_name,metric,region_a,region_b,median_a,median_b,median_ratio_a_over_b,mwu_p,perm_p
GSM_6433619,flux_tumor_immune,node_energy_coexact,immune_enriched,stroma_enriched,1.109125518188444e-08,9.695817980703558e-09,1.1439215550413648,0.2983355204184903,0.2517482517482518
GSM_6433619,flux_tumor_immune,node_energy_coexact,immune_enriched,tumor_enriched,1.109125518188444e-08,9.367533194514462e-09,1.1840102353071322,0.2172556122909499,0.3326673326673326
GSM_6433619,flux_tumor_immune,node_energy_coexact,interface_like,other,1.7098634376948712e-08,6.191467267022245e-09,2.7616449606414877,1.7852592435593318e-23,0.0009990009990009
GSM_6433619,flux_tumor_immune,node_energy_coexact,interface_like,stroma_enriched,1.7098634376948712e-08,9.695817980703558e-09,1.763506123049969,5.3912664141223997e-08,0.0009990009990009
GSM_6433619,flux_tumor_immune,node_energy_coexact,interface_like,tumor_enriched,1.7098634376948712e-08,9.367533194514462e-09,1.8253081170784111,1.9905711913918394e-06,0.0009990009990009
GSM_6433619,flux_tumor_stroma,frac_coexact,immune_enriched,other,0.113526414441988,0.0777738377735071,1.4596992728145857,0.0329652906312104,0.0669330669330669
GSM_6433619,flux_tumor_stroma,frac_coexact,immune_enriched,stroma_enriched,0.113526414441988,0.0301332056584678,3.7674854686456394,1.1924107071397574e-11,0.0009990009990009
GSM_6433619,flux_tumor_stroma,frac_coexact,immune_enriched,tumor_enriched,0.113526414441988,0.0457684417833461,2.4804518139242657,2.662133426461199e-07,0.0009990009990009
GSM_6433619,flux_tumor_stroma,frac_coexact,interface_like,other,0.0356260489182412,0.0777738377735071,0.4580724050418002,1.0,1.0
GSM_6433619,flux_tumor_stroma,frac_coexact,interface_like,stroma_enriched,0.0356260489182412,0.0301332056584678,1.182285393795462,0.0374301509714319,0.0799200799200799
GSM_6433619,flux_tumor_stroma,frac_coexact,interface_like,tumor_enriched,0.0356260489182412,0.0457684417833461,0.7783976803685854,0.9965426190769568,0.985014985014985
GSM_6433619,flux_tumor_stroma,node_energy_coexact,immune_enriched,other,4.577204144015706e-08,6.59015902736508e-08,0.6945513947401349,0.9218441170784704,0.9530469530469532
GSM_6433619,flux_tumor_stroma,node_energy_coexact,immune_enriched,stroma_enriched,4.577204144015706e-08,8.680527293537968e-08,0.5272956341515229,0.9946893141369204,0.996003996003996
GSM_6433619,flux_tumor_stroma,node_energy_coexact,immune_enriched,tumor_enriched,4.577204144015706e-08,1.1607923290260758e-07,0.3943172288066425,0.9994534195555792,1.0
GSM_6433619,flux_tumor_stroma,node_energy_coexact,interface_like,other,8.65392175966042e-08,6.59015902736508e-08,1.31315825972116,0.0134722773427002,0.0179820179820179
GSM_6433619,flux_tumor_stroma,node_energy_coexact,interface_like,stroma_enriched,8.65392175966042e-08,8.680527293537968e-08,0.9969350325184329,0.7550388157703061,0.5074925074925075
GSM_6433619,flux_tumor_stroma,node_energy_coexact,interface_like,tumor_enriched,8.65392175966042e-08,1.1607923290260758e-07,0.7455185172459922,0.9899450089593984,0.975024975024975
